#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-09-26T01:16:32 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-09-26T01:16:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/ApJS/225/9/table5&-source=J/ApJS/225/9/table5&-out=KOI&-out=Per&-out=Model&-out=Per2&-out=e_Per2&-out=u_Amp&-out=Amp&-out=e_Amp&-out=Res&-out=N&-out=Mult&-out=Ref&-out=Kepler&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22250009
#Name: J/ApJS/225/9
#Title: Kepler TTVs. IX. The full long-cadence data set (Holczer+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apjs/225/9	    IVOID of underlying data collection
#INFO	creator=Holczer T.	    First author or institution
#INFO	cites=bibcode:2016ApJS..225....9H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/225/9	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22250009	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_225_9_table5:
#Name: J/ApJS/225/9/table5
#Title: KOIs with significant long-term TTV
#Column	KOI	(F7.2)	[12.01/5866.01] KOI number	[ucd=meta.id;meta.main]
#Column	Per	(F6.2)	[0.9/285]? Orbital period	[ucd=time.period]
#Column	Model	(A3)	Model type (1)	[ucd=meta.note]
#Column	Per2	(F7.2)	[110/2480]? Best-fit period of the O-C data using model "Cos"	[ucd=time.period;meta.modelled]
#Column	e_Per2	(F6.2)	[0.08/370]? Period uncertainty	[ucd=stat.error]
#Column	u_Amp	(A1)	[~] Uncertainty flag on Amp	[ucd=meta.code.error]
#Column	Amp	(F8.3)	The amplitude of the cosine fit	[ucd=src.var.amplitude]
#Column	e_Amp	(F8.3)	[0.04/1400]? Amp uncertainty	[ucd=stat.error]
#Column	Res	(F6.2)	[0.05/190] Residual scatter (1.483 times their MAD)	[ucd=stat.error]
#Column	N	(I4)	[4/1384]? Number of TT measurements	[ucd=meta.number]
#Column	Mult	(I1)	[1/6]? Number of detected planets in the system (see B12)	[ucd=meta.number]
#Column	Ref	(a8)	References (see refs.dat file)	[ucd=meta.ref]
#Column	Kepler	(A5)	Kepler number	[ucd=meta.id]
KOI|Per|Model|Per2|e_Per2|u_Amp|Amp|e_Amp|Res|N|Mult|Ref|Kepler
2445.01| 47.37|Cos|1089.00| 44.00| |  79.000|  11.000| 18.00|  17|1|        |
2603.01| 73.71|Cos|1130.00|110.00| |  44.000|  12.000| 32.00|  16|1|        |
2613.01| 51.57|Cos|1530.00|130.00| |  52.000|  10.000| 17.00|  21|1|        |
2666.01| 64.03|Pol|       |      |~|  75.000|        | 30.00|  14|1|        |
2672.01| 88.51|Cos|1303.00| 11.00| |  58.610|   0.530|  3.10|  12|2|10      |396c
2672.02| 42.99|Cos|1518.00| 31.00| |  32.400|   1.500|  3.40|  29|2|10      |396b
2679.01|110.76|Cos| 964.00| 49.00| |   3.730|   0.590|  2.20|  12|1|        |
2681.01|135.50|Cos| 757.00| 19.00| |  20.600|   3.200|  1.70|   9|2|7       |397c
2691.01| 97.45|Cos|1343.00| 62.00| |  76.000|  10.000| 13.00|  13|1|        |
2720.01|  6.57|Cos| 765.00| 16.00| |  44.700|   3.500| 25.00| 130|1|        |
2975.01|175.33|Cos| 960.00|110.00| |  21.400|   9.200|  7.10|   7|1|        |
3057.01| 29.73|Cos| 791.00| 44.00| |  24.700|   8.500| 21.00|  29|2|7       |405c
3072.01| 24.34|Pol|       |      |~|  55.000|        | 28.00|  33|1|        |
3375.01| 47.06|Cos|1166.00| 82.00| |  46.400|   9.800| 13.00|  22|1|        |
3396.01| 36.26|Pol|       |      |~| 130.000|        | 90.00|  22|1|        |
3481.01| 32.71|Pol|       |      |~| 250.000|        | 90.00|  27|1|        |
3583.01|210.31|Pol|       |      |~|   1.000|        |  0.05|   5|1|        |
3602.01|249.36|Pol|       |      |~|   0.500|        |  0.30|   6|1|        |
3678.01|160.88|Cos| 402.70|  3.20| |   7.510|   0.490|  0.38|   8|1|        |
3683.01|214.31|Cos|1219.00| 84.00| |   7.830|   0.890|  3.20|   7|1|        |
3692.01|  1.16|Pol|       |      |~|   5.000|        |  2.00|1032|1|        |
3720.01|213.40|Pol|       |      |~|   1.000|        |  0.40|   6|1|        |
3781.01|  2.88|Cos| 836.40|  2.10| |   5.979|   0.077|  4.90| 431|1|        |
4007.01| 11.49|Pol|       |      |~|  90.000|        | 45.00|  70|1|        |
4014.01|234.24|Pol|       |      |~|  35.000|        |  7.00|   6|1|        |
4066.01|126.56|Cos|1640.00|110.00| |  81.000|  17.000| 21.00|  11|1|        |
4307.01|160.85|Pol|       |      |~| 100.000|        |  4.00|   7|1|        |
4519.01|148.56|Cos| 655.00| 16.00| |  64.300|   6.800|  1.50|   8|1|        |
4548.01| 61.08|Cos| 557.00| 14.00| | 190.000|  25.000| 71.00|  12|1|        |
4636.01|122.73|Cos| 932.00| 69.00| |  48.000|  15.000|  9.10|   6|1|        |
4928.01|  3.29|Cos| 110.25|  0.94| |   2.120|   0.680|  1.70|  83|1|        |
5052.01|155.05|Cos| 456.00| 12.00| |  36.400|   4.000|  7.40|   8|1|        |
5078.01|194.90|Cos| 577.00| 17.00| |  50.500|   6.800| 14.00|   7|1|        |
5208.01|186.54|Pol|       |      |~| 165.000|        | 50.00|   6|1|        |
5210.01|125.95|Cos| 888.00| 28.00| | 216.000|  36.000| 41.00|   7|1|        |
5453.01|190.65|Cos|1145.00| 11.00| | 466.000|  21.000|  2.70|   5|1|        |
5611.01|209.22|Cos|1051.00| 35.00| |  66.100|   7.500|  5.80|   6|1|        |
5651.01| 83.49|Pol|       |      |~|  85.000|        | 25.00|  10|1|        |
5866.01|102.31|Cos|1132.00| 75.00| |  70.000|  12.000| 11.00|  10|1|        |
